Timestamp_s,Voltage_V,Raw_ADC,Rolling_Variance
0.000023,1.032258,320,0.00000000
0.000523,1.051613,326,0.00009365
0.001023,1.029032,319,0.00009943
0.001523,1.009677,313,0.00022112
0.002023,1.038710,322,0.00018730
0.002523,0.996774,309,0.00033096
0.003023,1.058065,328,0.00040689
0.003523,1.019355,316,0.00037055
0.004023,1.016129,315,0.00034686
0.004523,1.006452,312,0.00035380
0.005023,1.016129,315,0.00032937
0.005523,1.064516,330,0.00042165
0.006023,1.051613,326,0.00042806
0.006523,1.029032,319,0.00039755
0.007023,1.016129,315,0.00038293
0.007523,1.022581,317,0.00036144
0.008023,1.025806,318,0.00034062
0.008523,1.035484,321,0.00032428
0.009023,1.045161,324,0.00032048
0.009523,1.041935,323,0.00031155
0.010023,1.022581,317,0.00029943
0.010523,1.025806,318,0.00028657
0.011023,1.019355,316,0.00027862
0.011523,1.035484,321,0.00026853
0.012023,1.054839,327,0.00028231
0.012523,1.054839,327,0.00029321
0.013023,1.009677,313,0.00029936
0.013523,1.029032,319,0.00028876
0.014023,1.035484,321,0.00027958
0.014523,1.035484,321,0.00027097
0.015023,1.051613,326,0.00027553
0.015523,1.045161,324,0.00027246
0.016023,1.022581,317,0.00026684
0.016523,1.006452,312,0.00027729
0.017023,1.038710,322,0.00027101
0.017523,1.038710,322,0.00026499
0.018023,1.051613,326,0.00026851
0.018523,1.041935,323,0.00026398
0.019023,1.022581,317,0.00025955
0.019523,1.025806,318,0.00025400
0.020023,1.025806,318,0.00024868
0.020523,1.051613,326,0.00025196
0.021023,1.061290,329,0.00026535
0.021523,1.038710,322,0.00026008
0.022023,1.012903,314,0.00026307
0.022523,1.029032,319,0.00025761
0.023023,1.012903,314,0.00026010
0.023523,1.038710,322,0.00025559
0.024023,1.061290,329,0.00026730
0.024523,1.038710,322,0.00026264
0.025023,1.025806,318,0.00025846
0.025523,1.019355,316,0.00025688
0.026023,1.038710,322,0.00025275
0.026523,1.054839,327,0.00025704
0.027023,1.051613,326,0.00025853
0.027523,1.025806,318,0.00025491
0.028023,1.025806,318,0.00025139
0.028523,1.025806,318,0.00024796
0.029023,1.041935,323,0.00024509
0.029523,1.054839,327,0.00024873
0.030023,1.058065,328,0.00025439
0.030523,1.032258,320,0.00025033
0.031023,1.029032,319,0.00024672
0.031523,1.009677,313,0.00025181
0.032023,1.038710,322,0.00024836
0.032523,1.041935,323,0.00024566
0.033023,1.051613,326,0.00024675
0.033523,1.022581,317,0.00024498
0.034023,1.029032,319,0.00024174
0.034523,1.032258,320,0.00023831
0.035023,1.025806,318,0.00023581
0.035523,1.048387,325,0.00023556
0.036023,1.058065,328,0.00024033
0.036523,1.032258,320,0.00023712
0.037023,1.038710,322,0.00023425
0.037523,1.038710,322,0.00023144
0.038023,1.035484,321,0.00022846
0.038523,1.045161,324,0.00022705
0.039023,1.058065,328,0.00023122
0.039523,1.038710,322,0.00022854
0.040023,1.025806,318,0.00022668
0.040523,1.022581,317,0.00022564
0.041023,1.035484,321,0.00022294
0.041523,1.041935,323,0.00022095
0.042023,1.058065,328,0.00022479
0.042523,1.051613,326,0.00022542
0.043023,1.038710,322,0.00022299
0.043523,1.032258,320,0.00022054
0.044023,1.032258,320,0.00021815
0.044523,1.051613,326,0.00021877
0.045023,1.074194,333,0.00023292
0.045523,1.080645,335,0.00025221
0.046023,1.022581,317,0.00025144
0.046523,1.035484,321,0.00024877
0.047023,1.048387,325,0.00024776
0.047523,1.038710,322,0.00024526
0.048023,1.061290,329,0.00024921
0.048523,1.064516,330,0.00025468
0.049023,1.029032,319,0.00025268
0.049523,1.016129,315,0.00025429
0.050098,1.106452,343,0.00029994
0.050598,1.077419,334,0.00031282
0.051098,1.041935,323,0.00030998
0.051598,1.025806,318,0.00030829
0.052098,1.032258,320,0.00030561
0.052598,1.048387,325,0.00030387
0.053098,1.100000,341,0.00033727
0.053598,1.038710,322,0.00033415
0.054098,1.025806,318,0.00033244
0.054598,1.029032,319,0.00033013
0.055098,1.029032,319,0.00032785
0.055598,1.022581,317,0.00032696
0.056098,1.041935,323,0.00032423
0.056598,1.048387,325,0.00032239
0.057098,1.025806,318,0.00032081
0.057598,1.016129,315,0.00032200
0.058098,1.019355,316,0.00032203
0.058598,1.019355,316,0.00032200
0.059098,1.029032,319,0.00031985
0.059598,1.054839,327,0.00031979
0.060098,1.051613,326,0.00031884
0.060598,1.025806,318,0.00031731
0.061098,1.003226,311,0.00032407
0.061598,1.006452,312,0.00032891
0.062098,1.041935,323,0.00032649
0.062598,1.054839,327,0.00032647
0.063098,1.067742,331,0.00033132
0.063598,1.019355,316,0.00033119
0.064098,1.016129,315,0.00033198
0.064598,1.022581,317,0.00033098
0.065098,1.035484,321,0.00032847
0.065598,1.041935,323,0.00032618
0.066098,1.058065,328,0.00032711
0.066598,1.000000,310,0.00033478
0.067098,1.019355,316,0.00033450
0.067598,1.029032,319,0.00033245
0.068098,1.016129,315,0.00033303
0.068598,1.041935,323,0.00033084
0.069098,1.058065,328,0.00033182
0.069598,1.022581,317,0.00033083
0.070098,1.016129,315,0.00033139
0.070598,1.016129,315,0.00033189
0.071098,1.022581,317,0.00033085
0.071598,1.038710,322,0.00032860
0.072098,1.041935,323,0.00032657
0.072598,1.000000,310,0.00033320
0.073098,1.029032,319,0.00033125
0.073598,1.022581,317,0.00033019
0.074098,1.029032,319,0.00032827
0.074598,1.035484,321,0.00032608
0.075098,1.051613,326,0.00032559
0.075598,1.029032,319,0.00032375
0.076098,1.012903,314,0.00032502
0.076598,1.012903,314,0.00032623
0.077098,1.022581,317,0.00032518
0.077598,1.038710,322,0.00032317
0.078098,1.029032,319,0.00032137
0.078598,1.038710,322,0.00031940
0.079098,1.009677,313,0.00032152
0.079598,1.019355,316,0.00032107
0.080098,1.016129,315,0.00032130
0.080598,1.029032,319,0.00031953
0.081098,1.041935,323,0.00031787
0.081598,1.032258,320,0.00031597
0.082098,1.012903,314,0.00031699
0.082598,1.009677,313,0.00031887
0.083098,1.003226,311,0.00032286
0.083598,1.019355,316,0.00032229
0.084098,1.035484,321,0.00032039
0.084598,1.041935,323,0.00031884
0.085098,1.022581,317,0.00031779
0.085598,1.016129,315,0.00031787
0.086098,1.022581,317,0.00031682
0.086598,1.025806,318,0.00031541
0.087098,1.045161,324,0.00031429
0.087598,1.054839,327,0.00031490
0.088098,1.012903,314,0.00031571
0.088598,1.022581,317,0.00031469
0.089098,1.012903,314,0.00031544
0.089598,1.016129,315,0.00031546
0.090098,1.029032,319,0.00031385
0.090598,1.045161,324,0.00031282
0.091098,0.987097,306,0.00032306
0.091598,0.983871,305,0.00033473
0.092098,1.029032,319,0.00033303
0.092598,1.032258,320,0.00033124
0.093098,1.038710,322,0.00032962
0.093598,1.051613,326,0.00032961
0.094098,1.006452,312,0.00033173
0.094598,1.012903,314,0.00033219
0.095098,1.016129,315,0.00033198
0.095598,1.009677,313,0.00033312
0.096098,1.029032,319,0.00033148
0.096598,1.041935,323,0.00033018
0.097098,1.022581,317,0.00032905
0.097598,1.006452,312,0.00033096
0.098098,1.006452,312,0.00033282
0.098598,1.009677,313,0.00033382
0.099098,1.009677,313,0.00033478
0.099598,1.051613,326,0.00033492
0.100168,1.006452,312,0.00033665
0.100668,1.041935,323,0.00033542
0.101168,1.064516,330,0.00033877
0.101668,0.996774,309,0.00034341
0.102168,0.993548,308,0.00034912
0.102668,1.045161,324,0.00034822
0.103168,1.019355,316,0.00034735
0.103668,1.038710,322,0.00034588
0.104168,1.051613,326,0.00034598
0.104668,1.032258,320,0.00034434
0.105168,1.019355,316,0.00034352
0.105668,1.022581,317,0.00034235
0.106168,1.035484,321,0.00034079
0.106668,1.045161,324,0.00033996
0.107168,1.041935,323,0.00033879
0.107668,1.019355,316,0.00033802
0.108168,1.022581,317,0.00033690
0.108668,1.019355,316,0.00033613
0.109168,1.022581,317,0.00033503
0.109668,1.054839,327,0.00033581
