Timestamp_s,Voltage_V,Raw_ADC,Rolling_Variance
0.000023,1.041935,323,0.00000000
0.001023,1.054839,327,0.00004162
0.002023,1.032258,320,0.00008556
0.003023,1.025806,318,0.00011967
0.004023,1.029032,319,0.00011072
0.005023,1.051613,326,0.00012285
0.006023,1.038710,322,0.00010533
0.007023,1.074194,333,0.00022633
0.008023,1.029032,319,0.00022199
0.009023,1.022581,317,0.00023351
0.010023,1.038710,322,0.00021242
0.011023,1.045161,324,0.00019684
0.012023,1.054839,327,0.00019666
0.013023,1.070968,332,0.00024045
0.014023,1.022581,317,0.00025177
0.015023,1.041935,323,0.00023604
0.016023,1.048387,325,0.00022432
0.017023,1.041935,323,0.00021187
0.018023,1.061290,329,0.00021838
0.019023,1.074194,333,0.00025232
0.020023,1.038710,322,0.00024209
0.021023,1.022581,317,0.00025232
0.022023,1.032258,320,0.00024679
0.023023,1.038710,322,0.00023731
0.024023,1.058065,328,0.00023652
0.025023,1.054839,327,0.00023208
0.026023,1.038710,322,0.00022450
0.027023,1.035484,321,0.00021889
0.028023,1.025806,318,0.00022183
0.029023,1.041935,323,0.00021446
0.030023,1.048387,325,0.00020848
0.031023,1.061290,329,0.00021201
0.032023,1.064516,330,0.00021838
0.033023,1.038710,322,0.00021284
0.034023,1.038710,322,0.00020757
0.035023,1.041935,323,0.00020192
0.036023,1.045161,324,0.00019650
0.037023,1.070968,332,0.00021005
0.038023,1.067742,331,0.00021798
0.039023,1.032258,320,0.00021664
0.040023,1.032258,320,0.00021517
0.041023,1.051613,326,0.00021119
0.042023,1.061290,329,0.00021247
0.043023,1.077419,334,0.00023076
0.044023,1.038710,322,0.00022675
0.045023,1.029032,319,0.00022775
0.046023,1.032258,320,0.00022649
0.047023,1.048387,325,0.00022199
0.048023,1.058065,328,0.00022079
0.049023,1.070968,332,0.00022916
0.050023,1.067742,331,0.00023381
0.051023,1.029032,319,0.00023498
0.052023,1.035484,321,0.00023260
0.053023,1.025806,318,0.00023558
0.054023,1.064516,330,0.00023778
0.055023,1.077419,334,0.00025106
0.056023,1.035484,321,0.00024870
0.057023,1.029032,319,0.00024940
0.058023,1.025806,318,0.00025189
0.059023,1.054839,327,0.00024910
0.060023,1.064516,330,0.00025073
0.061023,1.074194,333,0.00025929
0.062023,1.051613,326,0.00025559
0.063023,1.035484,321,0.00025348
0.064023,1.051613,326,0.00025000
0.065023,1.038710,322,0.00024710
0.066023,1.058065,328,0.00024544
0.067023,1.061290,329,0.00024499
0.068023,1.064516,330,0.00024596
0.069023,1.029032,319,0.00024699
0.070023,1.032258,320,0.00024642
0.071023,1.041935,323,0.00024328
0.072023,1.054839,327,0.00024090
0.073023,1.061290,329,0.00024053
0.074023,1.080645,335,0.00025241
0.075023,1.032258,320,0.00025200
0.076023,1.029032,319,0.00025288
0.077023,1.054839,327,0.00025046
0.078023,1.029032,319,0.00025128
0.079023,1.074194,333,0.00025749
0.080023,1.064516,330,0.00025804
0.081023,1.029032,319,0.00025888
0.082023,1.038710,322,0.00025659
0.083023,1.035484,321,0.00025507
0.084023,1.041935,323,0.00025234
0.085023,1.058065,328,0.00025088
0.086023,1.067742,331,0.00025296
0.087023,1.058065,328,0.00025144
0.088023,1.025806,318,0.00025370
0.089023,1.038710,322,0.00025164
0.090023,1.029032,319,0.00025233
0.091023,1.054839,327,0.00025031
0.092023,1.070968,332,0.00025384
0.093023,1.048387,325,0.00025116
0.094023,1.041935,323,0.00024879
0.095023,1.035484,321,0.00024756
0.096023,1.041935,323,0.00024526
0.097023,1.061290,329,0.00024487
0.098023,1.064516,330,0.00024547
0.099023,1.074194,333,0.00025026
0.100096,1.019355,316,0.00025550
0.101096,1.045161,324,0.00025304
0.102096,1.051613,326,0.00025077
0.103096,1.067742,331,0.00025239
0.104096,1.041935,323,0.00025027
0.105096,1.029032,319,0.00025103
0.106096,1.038710,322,0.00024934
0.107096,1.048387,325,0.00024705
0.108096,1.048387,325,0.00024480
0.109096,1.061290,329,0.00024439
0.110096,1.035484,321,0.00024342
0.111096,1.025806,318,0.00024526
0.112096,1.035484,321,0.00024424
0.113096,1.058065,328,0.00024319
0.114096,1.054839,327,0.00024162
0.115096,1.070968,332,0.00024445
0.116096,1.032258,320,0.00024425
0.117096,1.029032,319,0.00024492
0.118096,1.038710,322,0.00024342
0.119096,1.045161,324,0.00024141
0.120096,1.061290,329,0.00024113
0.121096,1.067742,331,0.00024267
0.122096,1.041935,323,0.00024091
0.123096,1.038710,322,0.00023953
0.124096,1.041935,323,0.00023782
0.125096,1.058065,328,0.00023690
0.126096,1.054839,327,0.00023551
0.127096,1.064516,330,0.00023602
0.128096,1.038710,322,0.00023475
0.129096,1.025806,318,0.00023643
0.130096,1.009677,313,0.00024519
0.131096,1.054839,327,0.00024383
0.132096,1.061290,329,0.00024356
0.133096,1.067742,331,0.00024496
0.134096,1.038710,322,0.00024366
0.135096,1.022581,317,0.00024622
0.136096,1.032258,320,0.00024596
0.137096,1.045161,324,0.00024419
0.138096,1.067742,331,0.00024560
0.139096,1.048387,325,0.00024386
0.140096,1.041935,323,0.00024230
0.141096,1.029032,319,0.00024281
0.142096,1.041935,323,0.00024127
